Name,Type,Location,Conference,Division,URL
Academy of Art University,Private,"San Francisco, California",Pacific West Conference,NCAA D2,https://www.academyart.edu/
Adams State University,Public,"Alamosa, Colorado",Rocky Mountain Athletic Conference,NCAA D2,https://www.adams.edu/
Adelphi University,Private,"Garden City, New York",Northeast-10 Conference,NCAA D2,https://www.adelphi.edu/
Albany State University,Public,"Albany, Georgia",Southern Intercol. Ath. Conf.,NCAA D2,https://www.asurams.edu/
Allen University,Private,"Columbia, South Carolina",Southern Intercol. Ath. Conf.,NCAA D2,https://allenuniversity.edu/
American International College,Private,"Springfield, Massachusetts",Northeast-10 Conference,NCAA D2,https://www.aic.edu/
Anderson University – South Carolina,Private,"Anderson, South Carolina",South Atlantic Conference,NCAA D2,https://andersonuniversity.edu/
Angelo State University,Public,"San Angelo, Texas",Lone Star Conference,NCAA D2,https://www.angelo.edu/
Arkansas Tech University,Public,"Russellville, Arkansas",Great American Conference,NCAA D2,https://www.atu.edu/
Ashland University,Private,"Ashland, Ohio",Great Midwest Athletic Conference,NCAA D2,https://www.ashland.edu/
Assumption University,Private,"Worcester, Massachusetts",Northeast-10 Conference,NCAA D2,https://www.assumption.edu/
Auburn University – Montgomery,Public,"Montgomery, Alabama",Gulf South Conference,NCAA D2,https://www.aum.edu/
Augusta University,Public,"Augusta, Georgia",Peach Belt Conference,NCAA D2,https://www.augusta.edu/
Augustana University – South Dakota,Private,"Sioux Falls, South Dakota",Northern Sun Intercollegiate Conference,NCAA D2,https://www.augie.edu/
Azusa Pacific University,Private,"Azusa, California",Pacific West Conference,NCAA D2,https://www.apu.edu/
Barry University,Private,"Miami, Florida",Sunshine State Conference,NCAA D2,https://www.barry.edu/en
Barton College,Private,"Wilson, North Carolina",Conference Carolinas,NCAA D2,https://www.barton.edu/
Belmont Abbey College,Private,"Belmont, North Carolina",Conference Carolinas,NCAA D2,https://belmontabbeycollege.edu/
Bemidji State University,Public,"Bemidji, Minnesota",Northern Sun Intercollegiate Conference,NCAA D2,https://www.bemidjistate.edu/
Benedict College,Private,"Columbia, South Carolina",Southern Intercol. Ath. Conf.,NCAA D2,https://benedict.edu/
Bentley University,Private,"Waltham, Massachusetts",Northeast-10 Conference,NCAA D2,https://www.bentley.edu/
Biola University,Private,"La Mirada, California",Pacific West Conference,NCAA D2,https://www.biola.edu
Black Hills State University,Public,"Spearfish, South Dakota",Rocky Mountain Athletic Conference,NCAA D2,https://www.bhsu.edu/
Bloomfield College,Private,"Bloomfield, New Jersey",Central Atlantic Collegiate Conference,NCAA D2,https://www.bloomfield.edu/
Bloomsburg University of Pennsylvania,Public,"Bloomsburg, Pennsylvania",Pennsylvania State Athletic Conference,NCAA D2,https://www.commonwealthu.edu/campus-life/bloomsburg
Clarion University of Pennsylvania,Public,"Clarion, Pennsylvania",Pennsylvania State Athletic Conference,NCAA D2,https://www.pennwest.edu/
Clark Atlanta University,Private,"Atlanta, Georgia",Southern Intercol. Ath. Conf.,NCAA D2,https://www.cau.edu/
Clayton State University,Public,"Morrow, Georgia",Peach Belt Conference,NCAA D2,https://www.clayton.edu/
Coker University,Private,"Hartsville, South Carolina",South Atlantic Conference,NCAA D2,https://www.coker.edu/
Colorado Christian University,Private,"Lakewood, Colorado",Rocky Mountain Athletic Conference,NCAA D2,https://www.ccu.edu/
Colorado Mesa University,Public,"Grand Junction, Colorado",Rocky Mountain Athletic Conference,NCAA D2,https://www.coloradomesa.edu/
Colorado School of Mines,Public,"Golden, Colorado",Rocky Mountain Athletic Conference,NCAA D2,https://www.mines.edu/
Colorado State University – Pueblo,Public,"Pueblo, Colorado",Rocky Mountain Athletic Conference,NCAA D2,https://www.csupueblo.edu/
Columbus State University,Public,"Columbus, Georgia",Peach Belt Conference,NCAA D2,https://www.columbusstate.edu/
Concord University,Public,"Athens, West Virginia",Mountain East Conference,NCAA D2,https://www.concord.edu/
Concordia College – Minnesota,Private,"Moorhead, Minnesota",Northern Sun Intercollegiate Conference,NCAA D2,https://www.concordiacollege.edu/
Concordia University – Irvine,Private,"Irvine, California",Pacific West Conference,NCAA D2,https://www.cui.edu/
Converse University,Private,"Spartanburg, South Carolina",Conference Carolinas,NCAA D2,https://www.converse.edu/
D'Youville University,Private,"Buffalo, New York",East Coast Conference,NCAA D2,https://www.dyu.edu/
Daemen University,Private,"Amherst, New York",East Coast Conference,NCAA D2,https://www.daemen.edu/
Dallas Baptist University,Private,"Dallas, Texas",Lone Star Conference,NCAA D2,https://www.dbu.edu/
Davenport University,Private,"Grand Rapids, Michigan",Great Lakes Intercollegiate Athletic Conference,NCAA D2,https://www.davenport.edu/
Davis & Elkins College,Private,"Elkins, West Virginia",Mountain East Conference,NCAA D2,https://www.dewv.edu/
Delta State University,Public,"Cleveland, Mississippi",Gulf South Conference,NCAA D2,https://www.deltastate.edu/
Dominican University – New York,Private,"Orangeburg, New York",Central Atlantic Collegiate Conference,NCAA D2,https://www.duny.edu/
Dominican University of California,Private,"San Rafael, California",Pacific West Conference,NCAA D2,https://www.dominican.edu/
Drury University,Private,"Springfield, Missouri",Great Lakes Valley Conference,NCAA D2,https://www.drury.edu/
East Central University,Public,"Ada, Oklahoma",Great American Conference,NCAA D2,https://www.ecok.edu/
