Name,Type,Location,Conference,Division,URL
Abilene Christian University,Private,"Abilene, Texas",Western Athletic Conference,NCAA D1,https://acu.edu/
Alabama A&M University,Public,"Normal, Alabama",Southwestern Athletic Conf.,NCAA D1,https://www.aamu.edu/
Alabama State University,Public,"Montgomery, Alabama",Southwestern Athletic Conf.,NCAA D1,https://www.alasu.edu/
Alcorn State University,Public,"Alcorn State, Mississippi",Southwestern Athletic Conf.,NCAA D1,https://www.alcorn.edu/
American University,Private,"Washington, District Of Columbia",Patriot League,NCAA D1,https://www.american.edu/
Appalachian State University,Public,"Boone, North Carolina",Sun Belt Conference,NCAA D1,https://www.appstate.edu/
Arizona State University,Public,"Tempe, Arizona",Big 12 Conference,NCAA D1,https://www.asu.edu/
Arkansas State University,Public,"Jonesboro, Arkansas",Sun Belt Conference,NCAA D1,https://www.astate.edu/
Auburn University,Public,"Auburn, Alabama",Southeastern Conference,NCAA D1,https://www.auburn.edu/
Austin Peay State University,Public,"Clarksville, Tennessee",Atlantic Sun Conference,NCAA D1,https://www.apsu.edu/
Ball State University,Public,"Muncie, Indiana",Mid-American Conference,NCAA D1,https://bsu.edu/
Baylor University,Private,"Waco, Texas",Big 12 Conference,NCAA D1,https://www.baylor.edu/
Bellarmine University,Private,"Louisville, Kentucky",Atlantic Sun Conference,NCAA D1,https://www.bellarmine.edu/
Belmont University,Private,"Nashville, Tennessee",Missouri Valley Conference,NCAA D1,https://www.belmont.edu/
Bethune-Cookman University,Private,"Daytona Beach, Florida",Southwestern Athletic Conf.,NCAA D1,https://www.cookman.edu/
Binghamton University,Public,"Binghamton, New York",America East Conference,NCAA D1,https://www.binghamton.edu/
Boise State University,Public,"Boise, Idaho",Mountain West Conference,NCAA D1,https://www.boisestate.edu/
Boston College,Private,"Chestnut Hill, Massachusetts",Atlantic Coast Conference,NCAA D1,https://www.bc.edu/
Boston University,Private,"Boston, Massachusetts",Patriot League,NCAA D1,https://www.bu.edu/
Bowling Green State University,Public,"Bowling Green, Ohio",Mid-American Conference,NCAA D1,https://www.bgsu.edu/
Bradley University,Private,"Peoria, Illinois",Missouri Valley Conference,NCAA D1,https://www.bradley.edu/
Brigham Young University,Private,"Provo, Utah",Big 12 Conference,NCAA D1,https://www.byu.edu/
Brown University,Private,"Providence, Rhode Island",The Ivy League,NCAA D1,https://www.brown.edu/
Bryant University,Private,"Smithfield, Rhode Island",America East Conference,NCAA D1,https://www.bryant.edu/
Bucknell University,Private,"Lewisburg, Pennsylvania",Patriot League,NCAA D1,https://www.bucknell.edu/
Butler University,Private,"Indianapolis, Indiana",Big East Conference,NCAA D1,https://www.butler.edu/
California Baptist University,Private,"Riverside, California",Western Athletic Conference,NCAA D1,https://calbaptist.edu/
California Polytechnic State University – San Luis Obispo,Public,"San Luis Obispo, California",Big West Conference,NCAA D1,https://www.calpoly.edu/
California State University – Bakersfield,Public,"Bakersfield, California",Big West Conference,NCAA D1,https://www.csub.edu/
California State University – Fresno,Public,"Fresno, California",Mountain West Conference,NCAA D1,https://www.fresnostate.edu/
California State University – Fullerton,Public,"Fullerton, California",Big West Conference,NCAA D1,http://www.fullerton.edu/
California State University – Long Beach,Public,"Long Beach, California",Big West Conference,NCAA D1,https://www.csulb.edu/
California State University – Northridge,Public,"Northridge, California",Big West Conference,NCAA D1,https://www.csun.edu/
California State University – Sacramento,Public,"Sacramento, California",Big Sky Conference,NCAA D1,https://www.csus.edu/
Campbell University,Private,"Buies Creek, North Carolina",Coastal Athletic Association,NCAA D1,https://www.campbell.edu/
Canisius University,Private,"Buffalo, New York",Metro Atlantic Athletic Conference,NCAA D1,https://www.canisius.edu/
Central Connecticut State University,Public,"New Britain, Connecticut",Northeast Conference,NCAA D1,https://www.ccsu.edu/
Central Michigan University,Public,"Mount Pleasant, Michigan",Mid-American Conference,NCAA D1,https://www.cmich.edu/
Charleston Southern University,Private,"Charleston, South Carolina",Big South Conference,NCAA D1,https://www.charlestonsouthern.edu/
Chicago State University,Public,"Chicago, Illinois",Northeast Conference,NCAA D1,https://www.csu.edu/
Clemson University,Public,"Clemson, South Carolina",Atlantic Coast Conference,NCAA D1,https://www.clemson.edu/
Cleveland State University,Public,"Cleveland, Ohio",Horizon League,NCAA D1,https://www.csuohio.edu/
Coastal Carolina University,Public,"Conway, South Carolina",Sun Belt Conference,NCAA D1,https://www.coastal.edu/index.php
Colgate University,Private,"Hamilton, New York",Patriot League,NCAA D1,https://www.colgate.edu/
College of Charleston,Public,"Charleston, South Carolina",Coastal Athletic Association,NCAA D1,https://charleston.edu/
College of the Holy Cross,Private,"Worcester, Massachusetts",Patriot League,NCAA D1,https://www.holycross.edu/
Colorado State University,Public,"Fort Collins, Colorado",Mountain West Conference,NCAA D1,https://www.colostate.edu/
Columbia University,Private,"New York, New York",The Ivy League,NCAA D1,https://www.columbia.edu/
Coppin State University,Public,"Baltimore, Maryland",Mid-Eastern Athletic Conf.,NCAA D1,https://www.coppin.edu/
Cornell University,Private,"Ithaca, New York",The Ivy League,NCAA D1,https://www.cornell.edu/
Creighton University,Private,"Omaha, Nebraska",Big East Conference,NCAA D1,https://www.creighton.edu/
Dartmouth College,Private,"Hanover, New Hampshire",The Ivy League,NCAA D1,https://home.dartmouth.edu/
Davidson College,Private,"Davidson, North Carolina",Atlantic 10 Conference,NCAA D1,https://www.davidson.edu/
Delaware State University,Public,"Dover, Delaware",Mid-Eastern Athletic Conf.,NCAA D1,https://www.desu.edu/
DePaul University,Private,"Chicago, Illinois",Big East Conference,NCAA D1,https://www.depaul.edu/Pages/default.aspx
Drake University,Private,"Des Moines, Iowa",Missouri Valley Conference,NCAA D1,https://www.drake.edu/
Drexel University,Private,"Philadelphia, Pennsylvania",Coastal Athletic Association,NCAA D1,https://drexel.edu/
Duke University,Private,"Durham, North Carolina",Atlantic Coast Conference,NCAA D1,https://duke.edu/
Duquesne University,Private,"Pittsburgh, Pennsylvania",Atlantic 10 Conference,NCAA D1,https://www.duq.edu/
